2024-07-19 11:38:10,769 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 14392 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
This generated password is for development use only. Your security configuration must be updated before running your application in production.
 
2024-07-22 12:49:51,767 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer ------ Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager 
2024-07-22 12:49:51,906 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Starting ProtocolHandler ["http-nio-8080"] 
2024-07-22 12:49:51,937 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat started on port 8080 (http) with context path '/' 
2024-07-22 12:49:51,947 [main] INFO  c.example.quizapp.QuizAppApplication ------ Started QuizAppApplication in 3.982 seconds (process running for 4.439) 
2024-07-22 12:50:12,156 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring DispatcherServlet 'dispatcherServlet' 
2024-07-22 12:50:12,156 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Initializing Servlet 'dispatcherServlet' 
2024-07-22 12:50:12,157 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Completed initialization in 1 ms 
2024-07-22 12:50:18,397 [http-nio-8080-exec-4] INFO  c.e.q.controller.QuestionController ------ serving a getAllQuestions request 
2024-07-22 12:50:44,196 [http-nio-8080-exec-5] INFO  c.e.q.controller.QuestionController ------ serving a request to get all questions by category 
2024-07-22 12:51:12,692 [http-nio-8080-exec-7] INFO  c.e.q.controller.QuestionController ------ serving a request to get all questions by category 
2024-07-22 12:51:43,935 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 12:51:43,937 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown initiated... 
2024-07-22 12:51:43,939 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown completed. 
2024-07-22 14:12:44,913 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 19984 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-22 14:12:44,918 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-22 14:12:45,466 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-22 14:12:45,516 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 43 ms. Found 2 JPA repository interfaces. 
2024-07-22 14:12:46,010 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-22 14:12:46,020 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-22 14:12:46,022 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-22 14:12:46,023 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-22 14:12:46,077 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-22 14:12:46,078 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1119 ms 
2024-07-22 14:12:46,242 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-22 14:12:46,287 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-22 14:12:46,316 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-22 14:12:46,548 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-22 14:12:46,571 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
2024-07-22 14:12:46,716 [main] INFO  com.zaxxer.hikari.pool.HikariPool ------ HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@78545d40 
2024-07-22 14:12:46,716 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Start completed. 
2024-07-22 14:12:46,745 [main] WARN  org.hibernate.orm.deprecation ------ HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) 
2024-07-22 14:12:47,425 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator ------ HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) 
2024-07-22 14:12:47,494 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Initialized JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 14:12:47,737 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory ------ Hibernate is in classpath; If applicable, HQL parser will be used. 
2024-07-22 14:12:47,797 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration ------ spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2024-07-22 14:12:48,278 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Starting ProtocolHandler ["http-nio-8080"] 
2024-07-22 14:12:48,299 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat started on port 8080 (http) with context path '/' 
2024-07-22 14:12:48,308 [main] INFO  c.example.quizapp.QuizAppApplication ------ Started QuizAppApplication in 3.692 seconds (process running for 4.189) 
2024-07-22 14:12:55,152 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring DispatcherServlet 'dispatcherServlet' 
2024-07-22 14:12:55,152 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Initializing Servlet 'dispatcherServlet' 
2024-07-22 14:12:55,154 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet ------ Completed initialization in 0 ms 
2024-07-22 14:15:10,780 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean ------ Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-07-22 14:15:10,781 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown initiated... 
2024-07-22 14:15:10,784 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Shutdown completed. 
2024-07-22 14:15:13,625 [main] INFO  c.example.quizapp.QuizAppApplication ------ Starting QuizAppApplication using Java 18.0.2.1 with PID 24000 (C:\Users\haren\Desktop\REST\Rest_Mysql_App\target\classes started by haren in C:\Users\haren\Desktop\REST\Rest_Mysql_App) 
2024-07-22 14:15:13,631 [main] INFO  c.example.quizapp.QuizAppApplication ------ No active profile set, falling back to 1 default profile: "default" 
2024-07-22 14:15:14,233 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-22 14:15:14,283 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ------ Finished Spring Data repository scanning in 43 ms. Found 2 JPA repository interfaces. 
2024-07-22 14:15:14,880 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ------ Tomcat initialized with port 8080 (http) 
2024-07-22 14:15:14,895 [main] INFO  o.a.coyote.http11.Http11NioProtocol ------ Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-22 14:15:14,899 [main] INFO  o.a.catalina.core.StandardService ------ Starting service [Tomcat] 
2024-07-22 14:15:14,900 [main] INFO  o.a.catalina.core.StandardEngine ------ Starting Servlet engine: [Apache Tomcat/10.1.25] 
2024-07-22 14:15:14,975 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ------ Initializing Spring embedded WebApplicationContext 
2024-07-22 14:15:14,977 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ------ Root WebApplicationContext: initialization completed in 1294 ms 
2024-07-22 14:15:15,209 [main] INFO  o.h.jpa.internal.util.LogHelper ------ HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-22 14:15:15,262 [main] INFO  org.hibernate.Version ------ HHH000412: Hibernate ORM core version 6.5.2.Final 
2024-07-22 14:15:15,296 [main] INFO  o.h.c.i.RegionFactoryInitiator ------ HHH000026: Second-level cache disabled 
2024-07-22 14:15:15,589 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo ------ No LoadTimeWeaver setup: ignoring JPA class transformer 
2024-07-22 14:15:15,617 [main] INFO  com.zaxxer.hikari.HikariDataSource ------ HikariPool-1 - Starting... 
